timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z
1665258580514,-266,191,209,60,-497,850,475,3240,-4928
1665258580529,-266,191,209,60,-502,841,475,3240,-4928
1665258580531,-267,191,208,61,-502,841,475,3240,-4928
1665258580531,-267,191,208,63,-508,838,475,3240,-4928
1665258580547,-267,191,208,63,-508,838,475,3240,-4928
1665258580548,-268,192,208,65,-509,838,475,3240,-4928
1665258580548,-268,192,208,65,-509,838,475,3240,-4928
1665258580548,-268,192,208,63,-503,840,475,3240,-4928
1665258580564,-268,192,208,63,-503,840,475,3240,-4928
1665258580566,-267,191,207,63,-505,837,475,3240,-4928
1665258580566,-267,191,207,66,-507,839,475,3240,-4928
1665258580585,-267,191,207,66,-507,839,475,3240,-4928
1665258580587,-267,189,209,62,-501,844,475,3240,-4928
1665258580587,-267,189,209,62,-501,844,475,3240,-4928
1665258580587,-267,189,209,62,-506,828,475,3240,-4928
1665258580608,-267,189,209,62,-506,828,475,3240,-4928
1665258580609,-268,192,207,66,-519,810,475,3240,-4928
1665258580609,-268,192,207,66,-519,810,467,3235,-4981
1665258580609,-268,192,207,66,-514,813,467,3235,-4981
1665258580627,-268,192,207,65,-509,826,467,3235,-4981
1665258580629,-270,193,207,65,-509,826,467,3235,-4981
1665258580629,-270,193,207,70,-507,841,467,3235,-4981
1665258580644,-270,193,207,70,-507,841,467,3235,-4981
1665258580646,-269,192,207,69,-502,869,467,3235,-4981
1665258580646,-269,192,207,69,-502,869,467,3235,-4981
1665258580646,-269,192,207,66,-494,889,467,3235,-4981
1665258580665,-269,192,207,66,-494,889,467,3235,-4981
1665258580666,-266,189,209,61,-479,890,467,3235,-4981
1665258580667,-266,189,209,63,-494,875,467,3235,-4981
1665258580690,-266,189,209,63,-494,875,467,3235,-4981
1665258580693,-267,191,208,62,-496,861,467,3235,-4981
1665258580693,-267,191,208,62,-496,861,467,3235,-4981
1665258580693,-267,191,208,60,-497,853,467,3235,-4981
1665258580693,-267,191,208,60,-497,853,467,3235,-4981
