timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z
1665258260383,3,-3,265,184,-736,-164,3473,2136,-4916
1665258260383,3,-3,265,194,-766,-164,3473,2136,-4916
1665258260383,2,-2,263,203,-814,-166,3473,2136,-4916
1665258260383,2,-2,263,203,-814,-166,3473,2136,-4916
1665258260406,2,-2,263,192,-805,-161,3473,2136,-4916
1665258260408,2,-2,263,192,-805,-161,3473,2136,-4916
1665258260408,2,-2,263,196,-797,-161,3473,2136,-4916
1665258260408,2,-2,263,196,-797,-161,3473,2136,-4916
1665258260408,2,-2,263,183,-766,-154,3473,2136,-4916
1665258260423,2,-2,263,173,-765,-152,3473,2136,-4916
1665258260424,2,-2,264,173,-765,-152,3473,2136,-4916
1665258260425,2,-2,264,179,-772,-157,3473,2136,-4916
1665258260441,2,-2,264,179,-772,-157,3473,2136,-4916
1665258260443,3,-2,264,182,-765,-157,3473,2136,-4916
1665258260443,3,-2,264,182,-765,-157,3489,2132,-4929
1665258260458,3,-2,264,191,-777,-160,3489,2132,-4929
1665258260460,3,-2,264,191,-777,-160,3489,2132,-4929
1665258260460,3,-3,264,196,-789,-157,3489,2132,-4929
1665258260479,3,-3,264,192,-788,-154,3489,2132,-4929
1665258260481,3,-3,264,192,-788,-154,3489,2132,-4929
1665258260481,2,-2,264,189,-773,-152,3489,2132,-4929
1665258260481,2,-2,264,189,-773,-152,3489,2132,-4929
1665258260504,2,-2,264,184,-763,-152,3489,2132,-4929
1665258260507,2,-2,264,184,-763,-152,3489,2132,-4929
1665258260507,2,-4,263,184,-773,-155,3489,2132,-4929
1665258260507,2,-4,263,184,-773,-155,3489,2132,-4929
1665258260507,2,-4,263,182,-777,-157,3489,2132,-4929
1665258260523,2,-4,264,186,-781,-159,3489,2132,-4929
1665258260524,3,-2,264,186,-781,-159,3489,2132,-4929
1665258260524,3,-2,264,189,-779,-161,3489,2132,-4929
1665258260539,3,-2,264,189,-779,-161,3489,2132,-4929
1665258260540,3,-3,263,188,-777,-162,3489,2132,-4929
1665258260540,3,-3,263,188,-777,-162,3489,2132,-4929
1665258260559,3,-3,263,188,-779,-163,3459,2151,-4963
1665258260561,3,-3,263,188,-778,-161,3459,2151,-4963
1665258260561,2,-2,264,186,-778,-161,3459,2151,-4963
1665258260561,2,-2,264,185,-778,-159,3459,2151,-4963
1665258260586,2,-2,264,185,-778,-159,3459,2151,-4963
